,Name,Homepage,Workers
0,SOPRA STERIA AS,www.soprasteria.no,3310
0,BOUVET NORGE AS,www.bouvet.no,2208
0,TELIA NORGE AS,Not Available,1957
0,ATEA AS,www.atea.no,1820
0,CAPGEMINI NORGE AS,www.no.capgemini.com,1542
0,ACCENTURE AS,Not Available,947
0,POLITIETS IT-ENHET,www.politiet.no,796
0,ADVANIA NORGE AS,www.advania.no,680
0,BEKK CONSULTING AS,www.bekk.no,608
0,FINN NO AS,Not Available,599
0,INTILITY AS,intility.no,576
0,EXPERIS AS,www.experis.no,538
0,REMARKABLE AS,remarkable.com,495
0,WEBSTEP AS,www.webstep.no,437
0,CGI NORGE AS,www.cginorge.no,413
0,ORANGE BUSINESS DIGITAL NORWAY AS,www.digital.orange-business.com,384
0,ENTUR AS,Not Available,371
0,MNEMONIC AS,www.mnemonic.no,367
0,NETCOMPANY NORWAY AS,Not Available,355
0,CRAYON AS,www.crayon.no,342
